"","Local.authority","year","Universal.Credit","Child.Tax.Credit","affected_population","percent_impacted","children_in_care","children_in_care_1_under","children_in_care_1_4","children_in_care_5_9","children_in_care_10_15","children_in_care_16plus","started_under_1","started_1_to_4","started_5_to_9","started_10_to_15","started_over_16","Anypoint_child_rate","Referrals_rate","under_19_population","under_5_population"
"484","CORNWALL",2014,NA,NA,NA,NA,443,"33","44","57","212","97","61","55","55","78","9","x","x",110053,28701
"485","CORNWALL",2015,NA,NA,NA,NA,438,"29","43","65","196","105","57","55","35","79","14","421.2","324.4",110166,28866
"486","CORNWALL",2016,NA,NA,NA,NA,429,"28","34","63","209","95","49","43","39","101","14","413","310.5",110236,28571
"487","CORNWALL",2017,NA,NA,NA,NA,414,"23","28","47","209","107","45","37","21","72","22","429","318.4",110674,27937
"488","CORNWALL",2018,0,"500",5144,9.72006220839813,465,"35","50","70","210","100","71","69","55","69","12","511.6","463.6",110498,27306
"489","CORNWALL",2019,130,"1040",10161,11.5146147032772,454,"37","50","59","191","117","64","39","42","65","13","555.8","493.3",110646,26822
"490","CORNWALL",2020,800,"1040",14960,12.2994652406417,474,"28","66","61","181","138","52","57","30","68","24","551","495.7",110168,25960
"491","CORNWALL",2021,1300,"960",20036,11.2796965462168,496,"31","77","90","183","115","48","57","46","74","9","613.1","598.5",110653,25416
"492","CORNWALL",2022,1610,"840",25385,9.65136891865275,501,"33","68","100","196","104","48","49","37","71","19","624.1","658.5",111435,25385
"493","CORNWALL",2023,2250,"700",30639,9.6282515747903,565,"29","73","118","215","130","49","58","46","88","51","646.7","669",111710,25042
"494","CORNWALL",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"701.5","698.9",NA,NA
"495","COVENTRY",2010,NA,NA,NA,NA,588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"496","COVENTRY",2011,NA,NA,NA,NA,586,"36","104","105","244","97","53","41","37","68","14",NA,NA,75034,22585
"497","COVENTRY",2012,NA,NA,NA,NA,578,"40","105","114","215","104","59","50","48","67","16",NA,NA,75704,23041
"498","COVENTRY",2013,NA,NA,NA,NA,619,"49","117","109","218","126","68","65","43","84","22","731.8","653",76616,23232
"499","COVENTRY",2014,NA,NA,NA,NA,630,"43","106","129","234","118","58","74","65","108","28","905","830.7",77369,23304
"500","COVENTRY",2015,NA,NA,NA,NA,588,"43","82","113","231","119","71","66","69","80","27","1012.3","1124.2",78229,23222
"501","COVENTRY",2016,NA,NA,NA,NA,580,"35","76","105","238","126","52","53","46","84","33","1016.3","1088.3",79367,23022
"502","COVENTRY",2017,NA,NA,NA,NA,620,"41","78","98","244","159","57","47","40","84","55","879.3","726.1",79654,22442
"503","COVENTRY",2018,0,"540",4336,12.4538745387454,653,"36","93","110","251","163","56","35","51","75","39","907.7","788",80498,22035
"504","COVENTRY",2019,90,"1110",8503,14.1126661178408,705,"45","111","127","249","173","58","43","63","71","65","824.1","744.4",80912,21569
"505","COVENTRY",2020,670,"1170",12498,14.7223555768923,698,"34","112","128","261","163","51","42","44","67","59","807.5","704",81042,20991
"506","COVENTRY",2021,1300,"1100",16158,14.8533234311177,746,"52","134","130","276","154","63","59","52","77","51","836.7","750",81360,20343
"507","COVENTRY",2022,1750,"980",20936,13.0397401604891,724,"48","122","126","267","161","62","34","30","64","64","833.2","651.7",83227,20936
"508","COVENTRY",2023,2290,"860",26105,12.0666538977207,724,"39","132","121","241","191","59","40","28","47","99","764","629.5",85342,21667
"509","COVENTRY",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"758.7","559.7",NA,NA
"510","CROYDON",2010,NA,NA,NA,NA,1008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"511","CROYDON",2011,NA,NA,NA,NA,845,"15","71","65","269","425","21","20","22","119","99",NA,NA,94133,28066
"512","CROYDON",2012,NA,NA,NA,NA,746,"16","78","82","250","320","30","35","36","137","75",NA,NA,95338,28504
"513","CROYDON",2013,NA,NA,NA,NA,735,"25","68","84","249","309","34","31","33","151","77","642.2","457",95990,28417
"514","CROYDON",2014,NA,NA,NA,NA,789,"21","60","73","286","349","33","28","30","223","86","585.6","386.1",96202,28310
"515","CROYDON",2015,NA,NA,NA,NA,803,"20","49","68","278","388","32","41","41","219","66","638.6","459.4",96478,28112
"516","CROYDON",2016,NA,NA,NA,NA,800,"18","43","56","281","402","32","29","31","220","96","679.2","521.2",96958,27992
"517","CROYDON",2017,NA,NA,NA,NA,785,"28","45","63","260","389","50","41","34","212","109","747","562.2",96779,27534
"518","CROYDON",2018,180,"340",5510,9.43738656987296,772,"36","59","79","254","344","51","43","50","170","113","845.9","769.8",96282,27043
"519","CROYDON",2019,440,"690",10731,10.5302394930575,818,"27","63","101","299","328","47","43","49","236","140","1026.1","672.7",96170,26713
"520","CROYDON",2020,990,"780",15839,11.1749479133784,791,"16","61","95","283","336","24","35","49","185","69","788.6","583.1",95835,26256
"521","CROYDON",2021,1500,"750",20058,11.2174693389171,680,"24","46","83","244","283","39","24","21","66","45","738.8","482.6",94544,25039
"522","CROYDON",2022,1910,"730",24904,10.6007067137809,544,"23","48","65","217","191","27","23","23","93","81","733.2","529",95003,24904
"523","CROYDON",2023,2450,"630",30288,10.1690438457475,531,"22","48","69","201","191","36","19","29","75","86","706.6","552.7",96327,25263
"524","CROYDON",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"888.2","792.8",NA,NA
"525","CUMBERLAND",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"570.2","458.7",NA,NA
"526","CUMBRIA",2010,NA,NA,NA,NA,511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"527","CUMBRIA",2011,NA,NA,NA,NA,507,"26","115","97","195","74","42","55","39","45","8",NA,NA,NA,NA
"528","CUMBRIA",2012,NA,NA,NA,NA,600,"50","119","123","217","91","58","64","41","72","8",NA,NA,NA,NA
"529","CUMBRIA",2013,NA,NA,NA,NA,629,"47","127","135","218","102","64","65","49","61","17","548.4","519.2",NA,NA
"530","CUMBRIA",2014,NA,NA,NA,NA,663,"43","147","164","203","106","58","54","42","51","18","632.2","718.7",NA,NA
"531","CUMBRIA",2015,NA,NA,NA,NA,681,"43","146","180","195","117","62","50","43","50","16","588.2","608",NA,NA
"532","CUMBRIA",2016,NA,NA,NA,NA,661,"38","121","187","215","100","58","43","49","40","17","570.5","484.1",NA,NA
"533","CUMBRIA",2017,NA,NA,NA,NA,627,"36","84","160","272","75","50","47","55","68","13","610.6","448.1",NA,NA
"534","CUMBRIA",2018,30,"50",NA,NA,666,"31","89","138","317","91","46","54","57","81","12","571.9","505.7",NA,NA
"535","CUMBRIA",2019,110,"100",NA,NA,683,"42","71","126","331","113","58","40","43","60","18","545.9","411.8",NA,NA
"536","CUMBRIA",2020,300,"112",NA,NA,721,"44","80","141","326","130","60","44","37","55","15","529.6","450.3",NA,NA
"537","CUMBRIA",2021,465,"103.333333333333",NA,NA,736,"35","124","127","311","139","52","51","40","48","18","490.1","379.9",NA,NA
"538","CUMBRIA",2022,215,"91.6666666666667",NA,NA,734,"39","103","128","308","156","48","41","41","55","33","526.4","472.4",NA,NA
"539","CUMBRIA",2023,276.666666666667,"78.3333333333333",NA,NA,740,"36","88","123","313","180","47","44","47","94","43","471.3","330.4",NA,NA
"540","DARLINGTON",2010,NA,NA,NA,NA,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"541","DARLINGTON",2011,NA,NA,NA,NA,187,"16","32","28","80","30","24","21","20","40","6",NA,NA,24190,6565
"542","DARLINGTON",2012,NA,NA,NA,NA,207,"22","37","32","82","34","29","28","33","31","7",NA,NA,24049,6610
"543","DARLINGTON",2013,NA,NA,NA,NA,208,"25","46","21","86","30","33","15","11","25","x","586.4","342.7",24001,6601
"544","DARLINGTON",2014,NA,NA,NA,NA,188,"12","40","29","73","34","18","25","16","21","x","593","644.5",23926,6456
"545","DARLINGTON",2015,NA,NA,NA,NA,200,"12","37","38","76","37","23","24","x","28","x","611.5","665.4",23851,6353
"546","DARLINGTON",2016,NA,NA,NA,NA,204,"16","36","44","69","39","23","23","16","18","9","567.4","908",23705,6264
"547","DARLINGTON",2017,NA,NA,NA,NA,219,"17","36","56","72","38","25","x","29","27","x","645.7","1006.5",23594,6049
"548","DARLINGTON",2018,0,"110",1120,9.82142857142857,214,"11","33","56","75","39","17","c","16","25","c","570.8","495.2",23465,5834
"549","DARLINGTON",2019,30,"220",2219,11.2663361874718,264,"20","42","68","103","31","c","33","32","37","c","652.6","495.3",23307,5707
"550","DARLINGTON",2020,210,"210",3273,12.8322639780018,270,"15","51","71","100","33","c","31","28","24","c","643.1","446.6",23391,5576
"551","DARLINGTON",2021,320,"210",4347,12.1923165401426,272,"11","56","68","100","37","18","23","19","c","c","582.4","336.4",23473,5472
"552","DARLINGTON",2022,400,"190",5569,10.5943616448195,273,"25","53","63","100","32","34","23","21","c","c","718","455.9",23550,5569
"553","DARLINGTON",2023,530,"150",6762,10.0561963916001,322,"11","60","77","127","47","17","35","27","47","17","824.9","721.6",23660,5552
"554","DARLINGTON",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"870.1","686.7",NA,NA
"555","DENBIGHSHIRE",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20830,5393
"556","DENBIGHSHIRE",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20612,5407
"557","DENBIGHSHIRE",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20487,5408
"558","DENBIGHSHIRE",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20609,5430
"559","DENBIGHSHIRE",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20535,5368
"560","DENBIGHSHIRE",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20451,5194
"561","DENBIGHSHIRE",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20357,5148
"562","DENBIGHSHIRE",2018,NA,NA,937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20222,5030
"563","DENBIGHSHIRE",2019,NA,NA,1874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20174,4922
"564","DENBIGHSHIRE",2020,NA,NA,2817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20227,4840
"565","DENBIGHSHIRE",2021,NA,NA,3748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20222,4754
"566","DENBIGHSHIRE",2022,NA,NA,4735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20364,4735
"567","DENBIGHSHIRE",2023,NA,NA,5635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20402,4640
"568","DERBY",2010,NA,NA,NA,NA,420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"569","DERBY",2011,NA,NA,NA,NA,461,"31","76","94","171","89","41","40","32","52","18",NA,NA,60360,17808
"570","DERBY",2012,NA,NA,NA,NA,480,"33","88","101","160","98","56","38","36","39","23",NA,NA,60761,18082
"571","DERBY",2013,NA,NA,NA,NA,465,"28","82","110","174","71","44","29","30","41","9","622.5","437",60959,18029
"572","DERBY",2014,NA,NA,NA,NA,445,"29","73","112","167","64","43","35","32","28","24","663.2","478.9",61306,17849
"573","DERBY",2015,NA,NA,NA,NA,470,"36","81","98","173","82","45","41","33","52","20","721.9","550.8",61731,17662
"574","DERBY",2016,NA,NA,NA,NA,448,"20","78","93","163","94","37","32","25","38","22","818.5","612.6",62070,17420
"575","DERBY",2017,NA,NA,NA,NA,448,"23","70","97","168","90","43","42","46","43","26","752.9","773.7",62333,16974
"576","DERBY",2018,0,"400",3135,12.7591706539075,491,"29","66","111","197","88","47","64","48","72","37","756.2","645.9",62313,16431
"577","DERBY",2019,70,"780",6240,13.6217948717949,562,"39","72","110","224","117","56","48","40","67","66","746.4","713.8",62169,16069
"578","DERBY",2020,470,"830",9124,14.2481367821131,588,"29","97","121","233","108","46","37","47","59","27","799","776.7",62049,15495
"579","DERBY",2021,850,"800",12018,13.7294058911633,642,"36","109","144","242","111","47","60","54","58","20","758.1","793.1",61731,15122
"580","DERBY",2022,1210,"760",15268,12.9028032486246,627,"52","85","124","250","116","63","29","39","54","45","857.3","822.7",62561,15268
"581","DERBY",2023,1590,"700",18701,12.2453344740923,620,"29","96","112","249","134","38","35","41","52","53","768.4","691.7",63404,15446
"582","DERBY",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"745.9","693.5",NA,NA
"583","DERBYSHIRE",2010,NA,NA,NA,NA,632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"584","DERBYSHIRE",2011,NA,NA,NA,NA,660,"40","133","110","228","149","60","70","55","81","31",NA,NA,166176,41705
"585","DERBYSHIRE",2012,NA,NA,NA,NA,700,"45","149","121","222","163","70","58","45","72","34",NA,NA,165179,42072
"586","DERBYSHIRE",2013,NA,NA,NA,NA,664,"49","129","134","205","147","62","58","49","50","48","708.2","770.9",164032,41780
"587","DERBYSHIRE",2014,NA,NA,NA,NA,628,"30","107","146","215","130","59","54","50","56","38","582.9","813",162706,41487
"588","DERBYSHIRE",2015,NA,NA,NA,NA,603,"36","88","127","213","139","59","54","39","64","37","521.7","632.9",161804,41225
"589","DERBYSHIRE",2016,NA,NA,NA,NA,585,"33","79","106","226","141","63","43","49","71","39","534.2","563.3",160933,40637
"590","DERBYSHIRE",2017,NA,NA,NA,NA,630,"37","97","98","242","156","68","56","44","77","50","619.8","569.2",160580,40009
"591","DERBYSHIRE",2018,1.25,"75.7142857142857",7514,1.02427848967641,709,"46","116","132","254","161","78","71","54","77","58","509.1","486.3",159805,39513
"592","DERBYSHIRE",2019,25,"155.714285714286",14989,1.20564604519505,801,"65","133","153","281","169","88","71","62","93","55","667.7","718.2",159649,39155
"593","DERBYSHIRE",2020,126.25,"157.142857142857",22397,1.26531614565726,862,"55","136","159","340","172","82","71","78","107","56","666.9","747.6",159122,38642
"594","DERBYSHIRE",2021,212.5,"151.25",30044,1.2107242710691,899,"53","148","175","332","191","81","83","75","79","57","644.2","681.4",159501,38126
"595","DERBYSHIRE",2022,275,"133.75",38254,1.06851571077534,912,"54","128","184","323","223","72","57","66","70","72","629.3","674.9",161095,38254
"596","DERBYSHIRE",2023,373.75,"113.75",46513,1.0480940812246,995,"51","139","182","362","261","88","83","80","133","98","661.8","720.8",162781,38309
"597","DERBYSHIRE",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"672.6","764.8",NA,NA
"598","DEVON",2010,NA,NA,NA,NA,620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"599","DEVON",2011,NA,NA,NA,NA,644,"25","86","88","234","211","50","61","39","114","77",NA,NA,149713,37514
"600","DEVON",2012,NA,NA,NA,NA,711,"44","94","99","254","220","60","50","51","137","99",NA,NA,149705,37977
"601","DEVON",2013,NA,NA,NA,NA,693,"41","90","103","258","201","72","54","43","138","85","492.7","401.6",149539,38072
"602","DEVON",2014,NA,NA,NA,NA,684,"35","89","117","241","202","65","64","58","85","38","707.3","618.7",150173,38189
"603","DEVON",2015,NA,NA,NA,NA,702,"37","84","103","285","193","59","71","53","123","40","669","489.9",150386,37863
"604","DEVON",2016,NA,NA,NA,NA,708,"42","84","126","293","163","68","88","71","124","34","536.4","489.5",150768,37542
"605","DEVON",2017,NA,NA,NA,NA,682,"26","68","118","300","170","47","56","52","111","42","465.7","356",152237,37144
"606","DEVON",2018,0,"66.25",6694,0.98969226172692,698,"44","60","119","294","181","69","58","53","102","28","418.8","372.1",152275,36611
"607","DEVON",2019,15,"143.75",13611,1.16633605172287,750,"45","85","129","294","197","66","48","58","82","45","515","378.8",152865,36127
"608","DEVON",2020,108.75,"148.75",20367,1.26430009328816,749,"44","77","139","307","182","68","53","49","105","45","375.2","267.5",152403,35395
"609","DEVON",2021,185,"137.5",27648,1.16644965277778,812,"49","107","142","325","189","77","80","68","99","35","374.4","312.4",153868,35174
"610","DEVON",2022,227.5,"123.75",35170,0.9987205004265,819,"46","103","142","334","194","62","41","47","82","42","461.9","485.1",155560,35170
"611","DEVON",2023,315,"105",42390,0.990799716914367,893,"60","108","139","362","224","75","62","46","115","79","513.5","475.6",156236,34575
"612","DEVON",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"412.1","395.8",NA,NA
"613","DONCASTER",2010,NA,NA,NA,NA,466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"614","DONCASTER",2011,NA,NA,NA,NA,450,"33","83","83","162","89","44","37","29","64","14",NA,NA,69101,19241
"615","DONCASTER",2012,NA,NA,NA,NA,510,"35","95","104","170","106","46","61","48","79","24",NA,NA,68642,19112
"616","DONCASTER",2013,NA,NA,NA,NA,497,"35","92","93","179","98","54","43","40","45","13","966.2","896.3",68371,18939
"617","DONCASTER",2014,NA,NA,NA,NA,499,"33","102","107","182","75","49","56","42","59","19","993.4","1050",68265,18717
"618","DONCASTER",2015,NA,NA,NA,NA,480,"24","81","117","184","74","33","33","39","41","11","644.6","576.5",68088,18492
"619","DONCASTER",2016,NA,NA,NA,NA,487,"19","50","115","211","92","34","35","34","48","34","687.3","694.9",68030,18251
"620","DONCASTER",2017,NA,NA,NA,NA,510,"33","61","91","213","112","52","48","32","55","25","765.5","818.6",67907,17876
"621","DONCASTER",2018,0,"400",3458,11.5673799884326,568,"42","71","107","235","113","56","43","55","66","26","797.6","882.2",67845,17646
"622","DONCASTER",2019,160,"790",6855,13.8584974471189,532,"27","81","85","244","95","38","48","50","55","15","748.4","741.5",67704,17316
"623","DONCASTER",2020,700,"750",10300,14.0776699029126,506,"28","61","81","235","101","46","36","41","48","14","700.3","652",67480,17182
"624","DONCASTER",2021,1200,"640",13543,13.5863545743188,548,"27","74","91","236","120","35","42","40","46","25","713.9","759",67294,16914
"625","DONCASTER",2022,1550,"560",17126,12.320448440967,589,"39","84","111","215","140","44","49","41","55","31","481.6","549.3",68302,17126
"626","DONCASTER",2023,1980,"490",21082,11.7161559624324,542,"25","72","93","204","148","37","42","32","51","49","660.1","774.4",69729,17478
"627","DONCASTER",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"559.7","877.2",NA,NA
"628","DORSET",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73569,17262
"629","DORSET",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73014,17244
"630","DORSET",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x","x",72778,17145
"631","DORSET",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x","x",72667,17071
"632","DORSET",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x","x",72572,16905
"633","DORSET",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x","x",72178,16665
"634","DORSET",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x","x",72164,16305
"635","DORSET",2018,NA,NA,2883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x","x",71490,15933
"636","DORSET",2019,NA,NA,5748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x","x",71004,15552
"637","DORSET",2020,NA,NA,8637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"612.7","468.7",70085,15146
"638","DORSET",2021,NA,NA,11736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"586.7","420.7",70088,14991
"639","DORSET",2022,NA,NA,15003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"582","439.4",70170,15003
"640","DORSET",2023,NA,NA,18059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"587.4","450",70121,14708
"641","DORSET",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"554.5","371.7",NA,NA
"642","DUDLEY",2010,NA,NA,NA,NA,613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"643","DUDLEY",2011,NA,NA,NA,NA,612,"30","129","140","233","80","41","44","33","39","x",NA,NA,71624,18861
"644","DUDLEY",2012,NA,NA,NA,NA,678,"30","159","147","261","81","37","56","36","58","x",NA,NA,71372,19023
"645","DUDLEY",2013,NA,NA,NA,NA,730,"36","152","170","285","87","48","45","34","63","9","761.3","446.3",71319,19218
"646","DUDLEY",2014,NA,NA,NA,NA,754,"25","164","174","280","111","35","48","30","59","7","782.5","512.1",71473,19536
"647","DUDLEY",2015,NA,NA,NA,NA,739,"22","140","177","287","113","38","49","30","43","14","804.9","485.1",71391,19442
"648","DUDLEY",2016,NA,NA,NA,NA,726,"42","112","180","267","125","52","46","31","44","17","774","634.1",71294,19306
"649","DUDLEY",2017,NA,NA,NA,NA,675,"33","88","176","250","128","41","28","30","43","18","942.4","871.1",71607,19260
"650","DUDLEY",2018,30,"370",3679,10.872519706442,662,"39","96","161","255","111","49","37","31","39","15","705.9","602.8",71895,18906
"651","DUDLEY",2019,160,"720",7224,12.1816168327796,659,"29","112","146","265","107","41","45","29","45","9","813.4","759.6",72066,18574
"652","DUDLEY",2020,670,"750",10702,13.2685479349654,623,"27","92","131","244","129","33","27","17","25","21","727.7","586.8",71990,18348
"653","DUDLEY",2021,1000,"750",14248,12.2824256035935,621,"21","111","119","245","125","28","21","16","27","22","721.4","508.2",71945,18063
"654","DUDLEY",2022,1380,"700",18051,11.5229073181541,583,"25","86","114","239","119","28","21","23","28","32","735.4","563.4",72702,18051
"655","DUDLEY",2023,1820,"620",21932,11.1252963706,588,"29","94","107","249","109","41","34","21","46","18","705.7","454",73485,18014
"656","DUDLEY",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"563.2","384.3",NA,NA
"657","DURHAM",2010,NA,NA,NA,NA,497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"658","DURHAM",2011,NA,NA,NA,NA,522,"42","115","109","177","78","55","61","49","62","17",NA,NA,106628,28661
"659","DURHAM",2012,NA,NA,NA,NA,659,"51","161","147","197","103","84","98","56","106","19",NA,NA,106280,28790
"660","DURHAM",2013,NA,NA,NA,NA,626,"46","126","147","206","101","75","64","48","78","15","809.4","438",105689,28596
"661","DURHAM",2014,NA,NA,NA,NA,606,"69","94","136","220","87","87","59","43","48","16","671.7","654.1",105403,28445
"662","DURHAM",2015,NA,NA,NA,NA,619,"57","97","153","225","87","84","61","55","41","17","628.7","563.6",105119,27964
"663","DURHAM",2016,NA,NA,NA,NA,680,"45","118","170","263","84","75","76","70","71","15","620.4","611.4",104817,27482
"664","DURHAM",2017,NA,NA,NA,NA,816,"70","130","207","312","97","100","116","109","96","19","595.9","518.8",104779,27087
"665","DURHAM",2018,10,"510",4935,10.5369807497467,803,"77","151","166","295","114","118","83","69","66","21","715.3","565.2",104564,26442
"666","DURHAM",2019,240,"1010",9838,12.7058345192112,845,"63","172","181","308","121","102","108","81","70","27","646","667.7",104520,25850
"667","DURHAM",2020,920,"960",14577,12.8970295671263,914,"84","158","209","341","122","116","94","87","99","17","616.3","600.4",104655,25174
"668","DURHAM",2021,1500,"930",19325,12.5743855109961,950,"68","172","220","367","123","97","67","70","76","26","641.5","472.6",105003,24545
"669","DURHAM",2022,1960,"830",24333,11.4659104919245,984,"61","161","212","391","159","94","77","82","82","53","686.6","493.5",105458,24333
"670","DURHAM",2023,2530,"710",29198,11.0966504555107,1067,"69","172","215","400","211","96","106","77","98","73","675.2","471.2",105737,23999
"671","DURHAM",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"689","468.5",NA,NA
"672","EALING",2010,NA,NA,NA,NA,401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"673","EALING",2011,NA,NA,NA,NA,383,"17","58","68","130","109","23","44","30","56","43",NA,NA,80584,25544
"674","EALING",2012,NA,NA,NA,NA,409,"24","68","78","146","93","27","39","44","65","53",NA,NA,82553,26406
"675","EALING",2013,NA,NA,NA,NA,398,"20","54","84","145","95","28","37","51","61","51","561","417.4",84091,26659
"676","EALING",2014,NA,NA,NA,NA,385,"17","42","74","152","100","30","41","41","74","57","558.9","431.1",85170,26602
"677","EALING",2015,NA,NA,NA,NA,355,"8","24","69","149","105","18","16","45","60","41","673.3","478.8",85927,26382
"678","EALING",2016,NA,NA,NA,NA,371,"7","25","62","152","125","18","31","43","94","58","583.8","408",86357,25628
"679","EALING",2017,NA,NA,NA,NA,347,"11","22","43","148","123","22","17","19","58","61","570.9","415.4",86234,24610
"680","EALING",2018,0,"430",4776,9.00335008375209,341,"12","22","36","151","120","23","19","23","55","60","561.3","424.7",85899,23617
"681","EALING",2019,60,"840",9416,9.55819881053526,351,"11","27","42","153","118","27","17","36","64","65","579.4","516.5",86261,23204
"682","EALING",2020,420,"930",13603,9.92428140851283,332,"12","25","40","149","106","21","28","26","54","58","601.3","647.7",85887,22477
"683","EALING",2021,880,"910",17078,10.4813209977749,307,"8","25","33","132","109","15","23","18","33","55","730","497.3",84679,21345
"684","EALING",2022,1210,"860",21368,9.68738300262074,328,"9","20","31","134","134","13","9","14","43","86","474.1","547",85088,21368
"685","EALING",2023,1750,"810",26025,9.83669548511047,297,"17","27","26","108","119","23","12","14","40","58","448.5","510.9",85742,21758
"686","EALING",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"473.4","529.3",NA,NA
"687","EAST RIDING OF YORKSHIRE",2010,NA,NA,NA,NA,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"688","EAST RIDING OF YORKSHIRE",2011,NA,NA,NA,NA,304,"27","79","46","107","45","37","37","14","30","8",NA,NA,68166,16417
"689","EAST RIDING OF YORKSHIRE",2012,NA,NA,NA,NA,315,"22","76","54","114","49","30","32","23","54","8",NA,NA,68020,16488
"690","EAST RIDING OF YORKSHIRE",2013,NA,NA,NA,NA,336,"25","74","62","114","61","36","34","19","45","8","649.9","376.8",67176,16158
"691","EAST RIDING OF YORKSHIRE",2014,NA,NA,NA,NA,312,"16","64","62","118","52","24","33","24","40","11","683.2","437",66885,16075
"692","EAST RIDING OF YORKSHIRE",2015,NA,NA,NA,NA,290,"16","35","64","113","62","28","23","27","29","12","659.3","405.7",66126,15802
"693","EAST RIDING OF YORKSHIRE",2016,NA,NA,NA,NA,261,"11","24","61","97","68","13","13","13","25","14","666","451.4",66024,15651
"694","EAST RIDING OF YORKSHIRE",2017,NA,NA,NA,NA,287,"8","41","59","110","69","15","32","15","39","14","702","508.9",65633,15396
