"","Location","year","Total.Both","Universal.Credit.or.Child.Tax.Credits","Proportion.Both","Total.Universal.Credit","Universal.Credit","Proportion.Universal.Credit","Total.Child.Tax.Credit","Child.Tax.Credit","Proportion.Child.Tax.Credit","Local.authority","children_in_care"
"824",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BRENT","299"
"825",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BROMLEY","330"
"826",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CROYDON","791"
"827",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EALING","332"
"828",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ENFIELD","372"
"829",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GREENWICH","461"
"830",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HARROW","186"
"831",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HAVERING","232"
"832",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HILLINGDON","338"
"833",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HOUNSLOW","269"
"834",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KINGSTON UPON THAMES","125"
"835",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MERTON","154"
"836",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"REDBRIDGE","237"
"837",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RICHMOND UPON THAMES","123"
"838",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SUTTON","234"
"839",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WALTHAM FOREST","304"
"840",NA,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HARTLEPOOL","285"
"841",NA,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STOCKTON ON TEES","500"
"842",NA,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WIGAN","448"
"843",NA,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ST HELENS","466"
"844",NA,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CUMBRIA","683"
"845",NA,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LANCASHIRE","2115"
"846",NA,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KINGSTON UPON HULL","793"
"847",NA,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NORTH YORKSHIRE","430"
"848",NA,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NORTH NORTHAMPTONSHIRE","z"
"849",NA,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WEST NORTHAMPTONSHIRE","z"
"850",NA,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DERBYSHIRE","801"
"851",NA,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LEICESTERSHIRE","583"
"852",NA,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LINCOLNSHIRE","611"
"853",NA,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NORTHAMPTONSHIRE","1123"
"854",NA,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOTTINGHAMSHIRE","862"
"855",NA,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HEREFORDSHIRE","332"
"856",NA,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STOKE ON TRENT","851"
"857",NA,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STAFFORDSHIRE","1173"
"858",NA,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WARWICKSHIRE","722"
"859",NA,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WORCESTERSHIRE","833"
"860",NA,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SOUTHEND ON SEA","306"
"861",NA,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CAMBRIDGESHIRE","773"
"862",NA,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ESSEX","1060"
"863",NA,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HERTFORDSHIRE","929"
"864",NA,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NORFOLK","1186"
"865",NA,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SUFFOLK","865"
"866",NA,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUCKINGHAMSHIRE","514"
"867",NA,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EAST SUSSEX","589"
"868",NA,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HAMPSHIRE","1664"
"869",NA,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KENT","1588"
"870",NA,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OXFORDSHIRE","779"
"871",NA,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SURREY","970"
"872",NA,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WEST SUSSEX","705"
"873",NA,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BRISTOL","617"
"874",NA,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ISLES OF SCILLY","0"
"875",NA,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOURNEMOUTH CHRISTCHURCH AND POOLE","z"
"876",NA,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DEVON","750"
"877",NA,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GLOUCESTERSHIRE","716"
"878",NA,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SOMERSET","532"
"879",NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MIDDLESBROUGH","466"
"880",NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STOCKTON ON TEES","468"
"881",NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ST HELENS","442"
"882",NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WIRRAL","834"
"883",NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CUMBRIA","666"
"884",NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LANCASHIRE","1950"
"885",NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KINGSTON UPON HULL","757"
"886",NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NORTH YORKSHIRE","437"
"887",NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NORTH NORTHAMPTONSHIRE","z"
"888",NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WEST NORTHAMPTONSHIRE","z"
"889",NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DERBYSHIRE","709"
"890",NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LEICESTERSHIRE","554"
"891",NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LINCOLNSHIRE","656"
"892",NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NORTHAMPTONSHIRE","1092"
"893",NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOTTINGHAMSHIRE","790"
"894",NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HEREFORDSHIRE","313"
"895",NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STOKE ON TRENT","740"
"896",NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STAFFORDSHIRE","1099"
"897",NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WARWICKSHIRE","717"
"898",NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WORCESTERSHIRE","796"
"899",NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SOUTHEND ON SEA","289"
"900",NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CAMBRIDGESHIRE","700"
"901",NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ESSEX","1016"
"902",NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HERTFORDSHIRE","891"
"903",NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NORFOLK","1182"
"904",NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SUFFOLK","854"
"905",NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUCKINGHAMSHIRE","472"
"906",NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EAST SUSSEX","601"
"907",NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HAMPSHIRE","1593"
"908",NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KENT","1641"
"909",NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OXFORDSHIRE","684"
"910",NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SURREY","930"
"911",NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WEST SUSSEX","704"
"912",NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BRISTOL","639"
"913",NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SOUTH GLOUCESTERSHIRE","194"
"914",NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ISLES OF SCILLY","0"
"915",NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOURNEMOUTH CHRISTCHURCH AND POOLE","z"
"916",NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DEVON","698"
"917",NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GLOUCESTERSHIRE","656"
"918",NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SOMERSET","516"
