"","Location","year","Total.Both","Universal.Credit.or.Child.Tax.Credits","Proportion.Both","Total.Universal.Credit","Universal.Credit","Proportion.Universal.Credit","Total.Child.Tax.Credit","Child.Tax.Credit","Proportion.Child.Tax.Credit","Local.authority","children_in_care"
"396","County Durham",2022,"5,960","2,790","47%","3,500","1,960","56%","2,470","830","34%","DURHAM","984"
"397","Darlington",2022,"1,300","590","45%","760","400","53%","550","190","34%","DARLINGTON","273"
"398","Gateshead",2022,"2,290","1,160","51%","1,220","700","58%","1,070","460","42%","GATESHEAD","483"
"399","Hartlepool",2022,"1,420","680","48%","960","540","56%","460","140","31%","HARTLEPOOL","300"
"400","Middlesbrough",2022,"3,180","1,480","47%","1,900","1,020","54%","1,280","470","36%","MIDDLESBROUGH","502"
"401","Newcastle upon Tyne",2022,"4,210","1,950","46%","2,490","1,370","55%","1,720","580","34%","NEWCASTLE UPON TYNE","669"
"402","North Tyneside",2022,"1,840","830","45%","1,090","590","54%","750","240","32%","NORTH TYNESIDE","345"
"403","Northumberland",2022,"2,860","1,250","44%","1,590","820","52%","1,270","430","34%","NORTHUMBERLAND","425"
"404","Redcar and Cleveland",2022,"1,840","850","46%","1,120","600","54%","720","250","35%","REDCAR AND CLEVELAND","341"
"405","South Tyneside",2022,"1,920","890","47%","1,190","630","53%","730","270","36%","SOUTH TYNESIDE","285"
"406","Stockton-on-Tees",2022,"2,510","1,140","46%","1,400","770","55%","1,110","370","33%","STOCKTON ON TEES","574"
"407","Sunderland",2022,"3,340","1,570","47%","1,940","1,090","56%","1,400","480","34%","SUNDERLAND","554"
"408","Blackburn with Darwen",2022,"3,980","1,700","43%","1,800","970","54%","2,180","730","34%","BLACKBURN WITH DARWEN","387"
"409","Blackpool",2022,"2,290","1,090","48%","1,460","780","53%","830","320","38%","BLACKPOOL","609"
"410","Bolton",2022,"6,300","2,880","46%","3,200","1,790","56%","3,110","1,100","35%","BOLTON","544"
"411","Bury",2022,"3,030","1,430","47%","1,390","760","55%","1,640","670","41%","BURY","359"
"412","Cheshire East",2022,"2,950","1,360","46%","1,750","980","56%","1,200","380","31%","CHESHIRE EAST","522"
"413","Cheshire West and Chester",2022,"3,100","1,430","46%","1,790","1,010","57%","1,310","420","32%","CHESHIRE WEST AND CHESTER","537"
"414","Halton",2022,"1,770","890","50%","1,220","720","59%","550","160","30%","HALTON","369"
"415","Knowsley",2022,"2,350","1,130","48%","1,390","790","57%","970","340","35%","KNOWSLEY","298"
"416","Liverpool",2022,"6,900","3,280","48%","3,940","2,150","55%","2,950","1,130","38%","LIVERPOOL","1594"
"417","Manchester",2022,"13,330","6,090","46%","6,990","3,780","54%","6,340","2,300","36%","MANCHESTER","1384"
"418","Oldham",2022,"6,210","2,720","44%","3,070","1,710","56%","3,150","1,010","32%","OLDHAM","538"
"419","Rochdale",2022,"4,970","2,240","45%","2,620","1,460","56%","2,350","780","33%","ROCHDALE","553"
"420","Salford",2022,"4,830","2,530","52%","2,450","1,430","58%","2,380","1,100","46%","SALFORD","563"
"421","Sefton",2022,"2,820","1,280","45%","1,610","880","55%","1,210","400","33%","SEFTON","594"
"422","St. Helens",2022,"2,160","1,040","48%","1,340","780","58%","830","270","32%","ST HELENS","470"
"423","Stockport",2022,"2,830","1,280","45%","1,590","860","54%","1,240","420","34%","STOCKPORT","447"
"424","Tameside",2022,"3,750","1,790","48%","2,090","1,210","58%","1,660","580","35%","TAMESIDE","666"
